[-0.7681187   0.10321771  2.3506708 ]	 [-0.2849568  -0.00253123  0.8246782 ]	
[-1.0298225   0.20949595  3.1128008 ]	 [-0.7814763  -0.01631581  2.193345  ]	
[-1.4315765   0.36522198  3.9462118 ]	 [-1.411353   -0.03336618  3.417939  ]	
[-0.741367   -0.07918365  5.046549  ]	 [-0.6668016  -0.02841181  5.226948  ]	
[2.603407   0.46024293 4.945278  ]	 [1.59012   0.0921714 4.495302 ]	
[2.0629566  0.13908185 5.616745  ]	 [ 2.472277  -0.1916921  5.557127 ]	
[1.9874022  0.23177649 3.7068207 ]	 [1.910729   0.01859656 4.421636  ]	
[ 1.9107587  -0.04742317  5.804846  ]	 [ 2.10498    -0.06620649  5.812216  ]	
[-0.11266924  0.06970038  4.418578  ]	 [-0.06740344  0.06518048  4.754767  ]	
[-9.6581954e-01 -2.9962659e-03  3.6593969e+00]	 [-0.3484994   0.00398885  3.320291  ]	
[ 0.19165945 -0.1192213   2.4987798 ]	 [0.191071   0.01102191 1.747313  ]	
[ 0.19426268 -0.06976339  1.7745595 ]	 [0.03534271 0.00094925 0.242057  ]	
[ 0.20662022 -0.01712048  1.658056  ]	 [-2.969801e-05 -2.818283e-04  2.269163e-01]	
[-0.27625316 -0.01550525  1.6902514 ]	 [ 2.463289e-03 -4.217933e-05  7.790220e-03]	
[ 0.09823868 -0.00691771  1.5812182 ]	 [ 0.06889623 -0.00724769  1.489597  ]	
[-0.17316435 -0.01460979  2.0684032 ]	 [-0.01389211  0.00118513  0.105128  ]	
[ 0.45353407 -0.01483843  1.6847823 ]	 [ 0.1857796  -0.00719961  1.518054  ]	
[-0.00585765 -0.00629812  3.1353898 ]	 [-0.01957262 -0.01703621  3.018857  ]	
[-0.3072261  -0.03830166  4.5386395 ]	 [-0.3077997 -0.0266027  4.501916 ]	
[-0.67538136 -0.02399366  5.9741306 ]	 [-0.7169963  -0.03928795  5.920229  ]	
[-0.60668314 -0.03987132  7.4601555 ]	 [-0.6105208  -0.04534465  7.453641  ]	
[-0.35338396 -0.03507797  8.992553  ]	 [-0.3711884  -0.05196595  8.980689  ]	
[-0.7798836  -0.04994778 10.443552  ]	 [-0.8187535  -0.07086362 10.42      ]	
[-0.5766209  -0.05807565 11.994819  ]	 [-0.6034597  -0.07292344 11.93828   ]	
[ 0.06832659  0.07958259 10.508546  ]	 [ 0.06810892  0.05586072 10.45151   ]	
[-0.422453   -0.06135599 11.963198  ]	 [-0.4268137  -0.06548303 11.84014   ]	
[-1.2886056   0.07945879 10.599416  ]	 [-1.078081    0.02148363 10.51462   ]	
[0.02462471 0.07865222 8.838013  ]	 [0.08577487 0.0513826  8.866378  ]	
[-0.07076162  0.01094557  8.50204   ]	 [-7.294786e-02  1.100797e-03  8.824801e+00]	
[-0.5218183  -0.02209531  8.658633  ]	 [-4.731537e-01 -4.793843e-03  8.780270e+00]	
[-0.18378392  0.04089512  8.575762  ]	 [-1.705751e-01 -8.614478e-05  8.778175e+00]	
[ 7.4009597e-01 -7.6585859e-03  1.0114722e+01]	 [ 0.6696141  -0.06408212 10.1431    ]	
[ 1.3184273e+00 -6.5428466e-03  9.9612837e+00]	 [ 1.310855   -0.03563961 10.00483   ]	
[ 0.2127614 -0.0658385 11.587272 ]	 [ 0.2010362  -0.05974901 11.50362   ]	
